教科名,科目,区分,単位数
国語ⅠA,一般,必修,2
国語ⅠB,一般,必修,2
地理A,一般,必修,1
地理B,一般,必修,2
美術,一般,必修,1
英語ⅠA,一般,必修,1
英語ⅠB,一般,必修,1
英語ⅡA,一般,必修,1
英語ⅡB,一般,必修,1
英文法,一般,必修,2
保健体育ⅠA,一般,必修,1
保健体育ⅠB,一般,必修,1
基礎数学Ⅰ,一般,必修,3
基礎数学Ⅱ,一般,必修,2
基礎数学Ⅲ,一般,必修,1
基礎科学,一般,必修,1
物理学Ⅰ,一般,必修,1
基礎化学ⅠA,一般,必修,1
基礎化学ⅠB,一般,必修,1
情報処理Ⅰ,専門,必修,1
情報処理II,専門,必修,1
技術者入門I,専門,必修,1
技術者入門II,専門,必修,1
図学製図I,専門,必修,1
図学製図II,専門,必修,1
工学実験IA,専門,必修,1
工学実験IB,専門,必修,1
線形代数ⅠB,一般,必修,1
微分積分ⅠA,一般,必修,2
微分積分ⅠB,一般,必修,2
物理学ⅡA,一般,必修,1
物理学ⅡB,一般,必修,1
化学ⅠA,一般,必修,1
化学ⅠB,一般,必修,1
日本文化論,一般,選択,1
国語ⅡA,一般,必修,1
国語ⅡB,一般,必修,1
歴史A,一般,必修,1
歴史B,一般,必修,2
英語ⅢＡ,一般,必修,1
英語ⅢＢ,一般,必修,1
英語ⅣＡ,一般,必修,1
英語ⅣＢ,一般,必修,1
保健体育ⅡA,一般,必修,1
保健体育ⅡB,一般,必修,1
線形代数ⅠA,一般,必修,1
情報処理Ⅲ,専門,必修,1
電気回路,専門,必修,1
機構学Ⅰ,専門,必修,1
工業力学Ⅰ,専門,必修,1
工業力学Ⅱ,専門,必修,1
設計製図Ⅰ,専門,必修,1
工学実験ⅡA,専門,必修,1
工学実験ⅡB,専門,必修,1
製作実習Ⅰ,専門,必修,2
国語Ⅲ,一般,必修,1
現代社会A,一般,必修,1
現代社会B,一般,必修,2
英語ⅤA,一般,必修,1
英語ⅤB,一般,必修,1
体育ⅠA,一般,必修,1
体育ⅠB,一般,必修,1
線形代数Ⅱ,一般,必修,1
微分積分Ⅱ,一般,必修,2
微分積分Ⅲ,一般,必修,2
ﾗｲﾌｻｲｴﾝｽ・ｱｰｽｻｲｴﾝｽ,一般,必修,1
物理学Ⅲ,一般,必修,1
物理学Ⅳ,一般,必修,1
化学Ⅱ,一般,必修,1
一般特別セミナー,一般,必修選択,1
日本文化論,一般,選択,1
ドイツ語ⅠA,一般,必修,1
ドイツ語ⅠB,一般,必修,1
日本事情ⅠA,一般,必修（留学生）,1
日本事情ⅠB,一般,必修（留学生）,1
日本事情ⅡA,一般,必修（留学生）,1
日本事情ⅡB,一般,必修（留学生）,1
日本事情Ⅲ,一般,必修（留学生）,1
日本語ⅠA,一般,必修（留学生）,1
日本語ⅠB,一般,必修（留学生）,1
プロジェクト実習,専門,必修選択,1
機構学Ⅱ,専門,必修,2
材料力学Ⅰ,専門,必修,1
材料学Ⅰ,専門,必修,1
材料学Ⅱ,専門,必修,2
機械工作法Ⅰ,専門,必修,2
設計製図Ⅱ,専門,必修,1
設計製図Ⅲ,専門,必修,1
計測工学Ⅰ,専門,必修,1
計測工学Ⅱ,専門,必修,2
工学実験ⅢA,専門,必修,1
工学実験ⅢB,専門,必修,1
製作実習Ⅱ,専門,必修,2
国語表現,一般,必修,1
体育Ⅱ,一般,必修,1
英語演習ⅠＡ,一般,必修選択,1
英会話ⅠＡ,一般,必修選択,1
英語演習ⅠＢ,一般,必修選択,1
英会話ⅠＢ,一般,必修選択,1
哲学A,一般,必修選択,2
経済学A,一般,必修選択,2
社会学A,一般,必修選択,2
哲学B,一般,必修選択,2
経済学B,一般,必修選択,2
社会学B,一般,必修選択,2
中国語ⅠA,一般,選択,1
中国語ⅠB,一般,選択,1
日本文化論,一般,選択,1
日本語ⅡＡ,一般,必修（留学生）,1
日本語ⅡＢ,一般,必修（留学生）,1
ドイツ語ⅡA,一般,選択,1
ドイツ語ⅡB,一般,選択,1
応用数学A,専門,必修,2
応用物理実験,専門,必修,1
応用数学B,専門,必修選択,2
応用数学C,専門,必修選択,2
課題研究,専門,必修,1
機械力学Ⅰ,専門,必修,2
材料力学Ⅱ,専門,必修,2
材料力学Ⅲ,専門,必修,2
材料学Ⅲ,専門,必修,2
熱力学Ⅰ,専門,必修,2
熱力学Ⅱ,専門,必修,2
流体力学Ⅰ,専門,必修,1
流体力学Ⅱ,専門,必修,2
機械工作法Ⅱ,専門,必修,2
設計製図Ⅳ,専門,必修,1
工学実験ⅣA,専門,必修,1
工学実験ⅣB,専門,必修,1
製作実習Ⅲ,専門,必修,1
製作実習Ⅳ,専門,必修,1
電気工学演習,専門,必修,1
設計法Ⅰ,専門,必修,1
マイコン制御,専門,必修,1
学外実習,専門,選択,2
体育Ⅲ,一般,必修,1
日本語ⅢA,一般,必修（留学生）,1
日本語ⅢB,一般,必修（留学生）,1
英語演習Ⅱ,一般,必修選択,1
英会話Ⅱ,一般,必修選択,1
国文学,一般,選択,1
心理学,一般,選択,1
法学,一般,選択,1
ドイツ語ⅢA,一般,選択,1
中国語ⅡA,一般,選択,1
ドイツ語ⅢB,一般,選択,1
中国語ⅡB,一般,選択,1
日本文化論,一般,選択,1
機械力学Ⅱ,専門,必修,2
伝熱工学,専門,必修,1
流体力学Ⅲ,専門,必修,2
設計法Ⅱ,専門,必修,1
論理回路,専門,必修,1
制御工学Ⅰ,専門,必修,2
制御工学Ⅱ,専門,必修,2
工学演習Ⅰ,専門,必修,1
工学演習Ⅱ,専門,必修,1
工学演習Ⅲ,専門,必修,1
卒業研究,専門,必修,8
統計学,専門,選択,2
応用物理,専門,選択,1
工業英語演習,専門,選択,1
論文作成技法,専門,選択,1
工学演習Ⅳ,専門,選択,1
