項目,表記,単位数
機械設計技術者試験 3 級,機械設計技術者:3 級,3
危険物取扱者試験乙種第 4 類,危険物取扱者:乙種第:4 級,1
2 級ボイラー技士試験,2 級ボイラー技士,2
エックス線作業主任者試験,エックス線作業主任者,2
ガンマ線透過写真撮影作業主任者試験,ガンマ線透過写真撮影作業主任者,2
騒音・振動関係公害防止管理者試験,騒音・振動関係公害防止管理者,3
機械・プラント製図技能検定 (機械製図手書き作業) 3 級,3 級 機械・プラント製図技能士(手書き),1
機械・プラント製図技能検定 (機械製図 CAD 作業) 3 級,3 級 機械・プラント製図技能士(CAD),1
機械加工技能検定 (普通旋盤作業) 2 級,2 級 機械加工技能士(旋盤),1
機械加工技能検定 (普通旋盤作業) 3 級,3 級 機械加工技能士(旋盤),1
機械加工技能検定 (フライス盤作業) 2 級,2 級 機械加工技能士(フライス盤),1
機械加工技能検定 (フライス盤作業) 3 級,3 級 機械加工技能士(フライス盤),1
トレース技能検定試験 2 級,トレース技能検定:2 級,1
CAD トレース技能審査・機械部門 初級,CADトレース技能審査・機械部門:初級,1
CAD トレース技能審査・機械部門 中級,CADトレース技能審査・機械部門:中級,2
3次元 CAD 利用者技術者試験 2 級,3次元 CAD 利用者技術者:2 級,1
3次元 CAD 利用者技術者試験 準 1 級,3次元 CAD 利用者技術者:準1 級,2
3次元 CAD 利用者技術者試験 1 級,3次元 CAD 利用者技術者:1 級,2
情報検定(J 検)情報システム試験 基本スキル,情報検定:情報システム基本スキル,1
情報検定(J 検)情報システム試験 プログラミングスキル,情報検定:情報システムプログラミングスキル,1
情報検定(J 検)情報システム試験 システムデザインスキル,情報検定:情報システムシステムデザインスキル,1
情報検定(J 検)情報活用試験 2 級,情報検定:情報活用 2 級,1
情報検定(J 検)情報活用試験 1 級,情報検定:情報活用 1 級,1
情報検定(J 検)情報デザイン試験初級,情報検定:情報デザイン初級,1
情報検定(J 検)情報デザイン試験上級,情報検定:情報デザイン上級,1
情報処理技術者試験 基本情報技術者試験,情報処理技術者:基本情報,1
情報処理技術者試験 ITパスポート試験,情報処理技術者:ITパスポート,1
