教科名,学年,科目,区分,単位数
国語ⅠA,1,一般,必修,2
基礎科学,1,一般,必修,1
物理学Ⅰ,1,一般,必修,1
基礎化学ⅠA,1,一般,必修,1
基礎化学ⅠB,1,一般,必修,1
国語ⅠB,1,一般,必修,2
地理A,1,一般,必修,1
地理B,1,一般,必修,2
美術,1,一般,必修,1
英語ⅠA,1,一般,必修,1
英語ⅠB,1,一般,必修,1
英語ⅡA,1,一般,必修,1
英語ⅡB,1,一般,必修,1
英文法,1,一般,必修,2
保健体育ⅠA,1,一般,必修,1
保健体育ⅠB,1,一般,必修,1
基礎数学Ⅰ,1,一般,必修,3
基礎数学Ⅱ,1,一般,必修,2
基礎数学Ⅲ,1,一般,必修,1
機械制御入門Ⅰ,1,専門,必修,1
機械制御入門Ⅱ,1,専門,必修,1
電子計算機Ⅰ,1,専門,必修,1
技術者入門I,1,専門,必修,1
技術者入門Ⅱ,1,専門,必修,1
計算機演習,1,専門,必修,1
日本文化論,2,一般,選択,1
国語ⅡA,2,一般,必修,1
国語ⅡB,2,一般,必修,1
歴史A,2,一般,必修,1
歴史B,2,一般,必修,2
英語ⅢＡ,2,一般,必修,1
保健体育ⅡB,2,一般,必修,1
線形代数ⅠA,2,一般,必修,1
線形代数ⅠB,2,一般,必修,1
微分積分ⅠA,2,一般,必修,2
微分積分ⅠB,2,一般,必修,2
物理学ⅡA,2,一般,必修,1
物理学ⅡB,2,一般,必修,1
化学ⅠA,2,一般,必修,1
化学ⅠB,2,一般,必修,1
英語ⅢＢ,2,一般,必修,1
英語ⅣＡ,2,一般,必修,1
英語ⅣＢ,2,一般,必修,1
保健体育ⅡA,2,一般,必修,1
電気回路Ⅰ,2,専門,必修,1
電子計算機Ⅱ,2,専門,必修,1
電子計算機Ⅲ,2,専門,必修,1
プログラミング技法Ⅰ,2,専門,必修,1
プログラミング技法Ⅱ,2,専門,必修,1
実験実習Ⅰ,2,専門,必修,1
実験実習Ⅱ,2,専門,必修,1
製図Ⅰ,2,専門,必修,1
製図Ⅱ,2,専門,必修,1
電磁気学Ⅰ,2,専門,必修,1
国語Ⅲ,3,一般,必修,1
現代社会A,3,一般,必修,1
現代社会B,3,一般,必修,2
英語ⅤA,3,一般,必修,1
英語ⅤB,3,一般,必修,1
体育ⅠA,3,一般,必修,1
体育ⅠB,3,一般,必修,1
線形代数Ⅱ,3,一般,必修,1
微分積分Ⅱ,3,一般,必修,2
微分積分Ⅲ,3,一般,必修,2
ﾗｲﾌｻｲｴﾝｽ・ｱｰｽｻｲｴﾝｽ,3,一般,必修,1
物理学Ⅲ,3,一般,必修,1
物理学Ⅳ,3,一般,必修,1
化学Ⅱ,3,一般,必修,1
一般特別セミナー,3,一般,必修選択,1
日本語ⅠA,3,一般,必修（留学生）,1
日本文化論,3,一般,選択,1
日本事情ⅠA,3,一般,必修（留学生）,1
日本事情ⅠB,3,一般,必修（留学生）,1
日本事情ⅡA,3,一般,必修（留学生）,1
日本事情ⅡB,3,一般,必修（留学生）,1
日本事情Ⅲ,3,一般,必修（留学生）,1
日本語ⅠB,3,一般,必修（留学生）,1
ドイツ語ⅠA,3,一般,必修,1
ドイツ語ⅠB,3,一般,必修,1
工業力学,3,専門,必修,1
機械力学,3,専門,必修,1
電磁気学Ⅱ,3,専門,必修,1
電磁気学Ⅲ,3,専門,必修,1
電気回路Ⅱ,3,専門,必修,1
電気回路Ⅲ,3,専門,必修,1
電子工学Ⅰ,3,専門,必修,1
電子工学Ⅱ,3,専門,必修,1
計測工学Ⅰ,3,専門,必修,1
計測工学Ⅱ,3,専門,必修,1
実験実習Ⅲ,3,専門,必修,2
実験実習Ⅳ,3,専門,必修,2
プロジェクト実習,3,専門,必修選択,1
