項目,表記,単位数
測量士試験,測量士,4
測量士補試験,測量士補,2
基礎製図検定試験,基礎製図検定,1
基本情報技術者,情報処理技術者:基本情報,1
ITパスポート,情報処理技術者:ITパスポート,1
情報検定(J検)情報活用試験2級,情報検定:情報活用2級,1
情報検定(J検)情報活用試験1級,情報検定:情報活用1級,1
情報検定(J検)情報システム試験基本スキル,情報検定:情報システム基本スキル,1
情報検定(J検)情報システム試験プログラミングスキル,情報検定:情報システムプログラミングスキル,1
情報検定(J検)情報システム試験システムデザインスキル,情報検定:情報システムシステムデザインスキル,1
情報検定(J検)情報デザイン試験初級,情報検定:情報デザイン初級,1
情報検定(J検)情報デザイン試験上級,情報検定:情報デザイン上級,1
ビオトープ計画管理士試験,ビオトープ計画管理士:2級,1
ビオトープ施工管理士試験,ビオトープ施工管理士:2級,1
公害防止管理者1種試験,公害防止管理者:1種,3
公害防止管理者2種試験,公害防止管理者:2種,1
公害防止管理者3種試験,公害防止管理者:3種,2
公害防止管理者4種試験,公害防止管理者:4種,1
環境計量士試験,環境計量士,4
環境社会検定,eco検定,1
