項目,表記,単位数
ディジタル技術検定 1級,ディジタル検定:1級,1
ディジタル技術検定 2級,ディジタル検定:2級,1
ディジタル技術検定 3級,ディジタル検定:3級,1
システム監査技術者,情報処理技術者:システム監査,2
ITサービスマネージャ,情報処理技術者:ITサービスマネージャ,2
情報セキュリティスペシャリスト,情報処理技術者:情報セキュリティ,2
エンベデッドシステムスペシャリスト,情報処理技術者:エンベデッドシステム,2
データベーススペシャリスト,情報処理技術者:データベース,2
ネットワークスペシャリスト,情報処理技術者:ネットワーク,2
プロジェクトマネージャ,情報処理技術者:プロジェクトマネージャ,2
システムアーキテクト,情報処理技術者:システムアーキテクト,2
ITストラテジスト,情報処理技術者:ITストラテジスト,2
応用情報技術者,情報処理技術者:応用情報,2
基本情報技術者,情報処理技術者:基本情報,1
ITパスポート,情報処理技術者:ITパスポート,1
情報検定(J検)情報活用試験2級,情報検定:情報活用2級,1
情報検定(J検)情報活用試験1級,情報検定:情報活用1級,1
