項目,表記,単位数
第1種または第2種電気主任技術者,電気主任技術者:2種,4
第3種電気主任技術者,電気主任技術者:3種,2
第3種電気主任技術者の2科目合格,電気主任技術者:科目合格,2
第1種電気工事士,電気工事士:1種,1
第2種電気工事士,電気工事士:2種,1
第1級陸上無線技術士,陸上無線技術士:1級,2
第2級陸上無線技術士,陸上無線技術士:2級,1
第1級陸上特殊無線技士,陸上特殊無線技士:1級,1
アマチュア無線技士,1級または2級,アマチュア無線:2級,1
電気通信主任技術者線路主任,電気通信技術:線路,1
電気通信主任技術者伝送交換主任,電気通信技術:交換,1
工事担任者 AI・DD総合種,工事担任者:総合種,2
工事担任者 AI第1種または第2種,工事担任者:AI2種,1
工事担任者 AI第3種,工事担任者:AI3種,1
工事担任者 DD第1種または第2種,工事担任者:DD2種,1
工事担任者 DD第3種,工事担任者:DD3種,1
ラジオ･音響技能検定 1級,ラジオ･音響検定:1級,1
ラジオ･音響技能検定 2級,ラジオ･音響検定:2級,1
ラジオ･音響技能検定 3級,ラジオ･音響検定:3級,1
ディジタル技術検定 1級,ディジタル検定:1級,1
ディジタル技術検定 2級,ディジタル検定:2級,1
ディジタル技術検定 3級,ディジタル検定:3級,1
システム監査技術者,情報処理技術者:システム監査,2
ITサービスマネージャ,情報処理技術者:ITサービスマネージャ,2
情報セキュリティスペシャリスト,情報処理技術者:情報セキュリティ,2
エンベデッドシステムスペシャリスト,情報処理技術者:エンベデッドシステム,2
データベーススペシャリスト,情報処理技術者:データベース,2
ネットワークスペシャリスト,情報処理技術者:ネットワーク,2
プロジェクトマネージャ,情報処理技術者:プロジェクトマネージャ,2
システムアーキテクト,情報処理技術者:システムアーキテクト,2
ITストラテジスト,情報処理技術者:ITストラテジスト,2
応用情報技術者,情報処理技術者:応用情報,2
基本情報技術者,情報処理技術者:基本情報,1
ITパスポート,情報処理技術者:ITパスポート,1
情報検定(J検),情報活用試験1級,情報検定:情報活用試験1級,1
情報検定(J検),情報活用試験2級,情報検定:情報活用試験2級,1
CGエンジニア検定エキスパート,CG検定:エキスパート,1
画像処理エンジニア検定エキスパート画像処理エンジニア検定:エキスパート,1
パソコン技能検定II種試験1級,パソコン技能検定:1級,1
技術製作活動,技術製作活動,1
研究活動,研究活動,1
プロジェクトマネジメントI,プロジェクトマネジメントI,1
プロジェクトマネジメントII,プロジェクトマネジメントII,1
上級プロジェクトマネジメント,上級プロジェクトマネジメント,1
