項目,表記,単位数
日本漢字能力検定1級,漢字検定:1級,1
日本漢字能力検定準1級,漢字検定:準1級,1
日本漢字能力検定2級,漢字検定:2級,1
実用英語技能検定1級,実用英検:1級,2
実用英語技能検定準1級,実用英検:準1級,2
実用英語技能検定2級,実用英検:2級,2
実用英語技能検定準1級,実用英検:準2級,1
技術英語能力検定準プロフェッショナル,技術英検:準プロ,1
技術英語能力検定1級,技術英検:1級,1
技術英語能力検定2級,技術英検:2級,2
技術英語能力検定3級,技術英検:3級,1
TOEIC L&R 730 点以上,TOEIC L&R:上級,4
TOEIC L&R 600 点以上,TOEIC L&R:中級Ⅱ,1
TOEIC L&R 470 点~599 点,TOEIC L&R:中級Ⅰ,1
TOEIC L&R 400 点以上,TOEIC L&R:初級,1
ドイツ語基礎統一試験(ZD),国際ドイツ語検定:B1,2
スタート・ドイツ語Ⅱ(SD2),国際ドイツ語検定:A2,1
スタート・ドイツ語Ⅰ(SD1),国際ドイツ語検定:A1,1
ドイツ語技能検定2級,ドイツ語検定:2級,2
ドイツ語技能検定3級,ドイツ語検定:3級,1
ドイツ語技能検定4級,ドイツ語検定:4級,1
技術士第1次試験,技術士第1次試験,4
実践ドイツ語Ⅰ,実践ドイツ語Ⅰ,1
実践ドイツ語Ⅱ,実践ドイツ語Ⅱ,1
実践ドイツ語Ⅲ,実践ドイツ語Ⅲ,1
技術イベント活動,技術イベント活動:ロボコンⅠ,1
技術イベント活動,技術イベント活動:ロボコンⅡ,1
技術イベント活動,技術イベント活動:ロボコンⅢ,1
技術イベント活動,技術イベント活動:ロボコンⅣ,1
技術イベント活動,技術イベント活動:ロボコンⅤ,1
技術イベント活動,技術イベント活動:プロコンⅠ,1
技術イベント活動,技術イベント活動:プロコンⅠ,1
技術イベント活動,技術イベント活動:プロコンⅡ,1
技術イベント活動,技術イベント活動:プロコンⅢ,1
技術イベント活動,技術イベント活動:プロコンⅣ,1
技術イベント活動,技術イベント活動:プロコンⅤ,1
技術イベント活動,技術イベント活動:IVRCニースⅠ,1
技術イベント活動,技術イベント活動:IVRCニースⅡ,1
技術イベント活動,技術イベント活動:IVRCニースⅢ,1
技術イベント活動,技術イベント活動:IVRCⅠ,1
技術イベント活動,技術イベント活動:IVRCⅡ,1
ボランティア活動,ボランティア活動 社会福祉,1
ボランティア活動,ボランティア活動 地域支援,1
国際交流,国際交流:外国人留学生支援,1
国際交流,異文化理解Ⅰ,1
国際交流,異文化理解Ⅱ,1
国際交流,異文化理解Ⅲ,1
国際交流,異文化理解Ⅳ,1
国際交流,日本理解,1
国際交流,プロジェクト実習Ⅰ,1
国際交流,プロジェクト実習Ⅱ,1
国際交流,国際学術会議支援,1
基礎原子力工学,基礎原子力工学:遠隔履修型,1
品質管理検定4級,品質管理検定4級,1
品質管理検定3級,品質管理検定3級,1
